loss_G,loss_D,L1_hole,L1_valid,D_real_mean,D_fake_mean,grad_G,grad_D
0.9449891448020935,0.6412668228149414,0.08757730573415756,0.4195253252983093,0.5486277341842651,0.5482462644577026,1.0049834343649091,7.7205140590667725
0.8214971721172333,0.9717732667922974,0.0793258547782898,0.3455420434474945,0.5973622798919678,0.5969414114952087,0.7491795370089156,12.17624490261078
0.7516773740450541,0.895798921585083,0.07445513208707173,0.3049465815226237,0.6106080611546835,0.6111149390538534,0.6545426799427895,11.235149216651918
0.7123322933912277,0.8513984829187393,0.07114729098975658,0.2854485511779785,0.6057747900485992,0.6061122715473175,0.5512589074316478,10.873431664705276
0.6776225805282593,0.7801332712173462,0.06823558062314987,0.2682090997695923,0.6047533988952637,0.6047324538230896,0.4833237833742584,9.52866969347
0.6537082691987356,0.7304092347621918,0.06711465741197269,0.25102032472689945,0.6065027515093485,0.6062488555908203,0.44998504676013473,8.561094290018081
0.652157894202641,0.6862046718597412,0.06800576086555209,0.24412332475185394,0.6091214418411255,0.608800368649619,0.4386779084060417,7.684454530477523
0.6364927515387535,0.6503585949540138,0.06650642212480307,0.23745421320199966,0.6107327938079834,0.6100758984684944,0.3970811346024718,7.017015194892882
0.6287923720147874,0.6191601819462247,0.06621226751142079,0.23151876529057822,0.6118263403574625,0.6107352177302042,0.3728968276637335,6.425342238611645
0.6191638588905335,0.5941279709339142,0.06534147448837757,0.22711500972509385,0.6122320532798767,0.6109215676784515,0.3537568355688736,5.933516800403594
0.6153903874483976,0.5725604864684019,0.06562643735246225,0.22163176130164752,0.6130786700682207,0.6117212718183344,0.36350039195962797,5.523332512378692
0.6114060233036677,0.5543751195073128,0.06567780952900648,0.21733916426698366,0.613737533489863,0.6121914784113566,0.3474731892384293,5.198440881073474
0.6027242633012625,0.5393300308631017,0.06452894182159351,0.21555061065233672,0.6143141939089849,0.6126045355430016,0.3324495031969151,4.934996088193013
0.5996854901313782,0.5251320877245494,0.06453681710575308,0.21246458696467535,0.6147480607032776,0.6126266717910767,0.3247271431404083,4.707960784435272
0.5911319077014923,0.5132457574208578,0.06363931174079578,0.20929603676001232,0.6151340325673421,0.6127923528353373,0.3148127938391611,4.545673450628916
0.5890832375735044,0.5049325041472912,0.06358111486770213,0.20759654697030783,0.6157489120960236,0.6131119355559349,0.30186437038771274,4.496071064472199
0.5858283691546496,0.5001354655798744,0.06344302590279018,0.20517021242310018,0.6160765675937429,0.6132382434957168,0.29236353448192987,4.566424963053535
0.5820857700374391,0.49998127586311764,0.0630180204494132,0.20397764609919655,0.6162436405817667,0.613149493932724,0.2862638146419413,4.715930467844009
0.5772125971944708,0.49908679410030965,0.06252644603189669,0.20205392021881907,0.6163624744666251,0.6131383023763958,0.2835912128319884,4.821660321637204
0.572561502456665,0.4918900102376938,0.061856053210794924,0.2014251820743084,0.6164229184389114,0.6132259488105773,0.28081126284696867,4.726734148263931
0.567021077587491,0.48492943956738427,0.0611423376415457,0.200167049964269,0.6166715593565077,0.6133103058451698,0.2723569678144778,4.589809802600316
0.5609377487139269,0.47808514129031787,0.06042322465641932,0.19839839840477164,0.6169865212657235,0.6134912452914498,0.2686962678542691,4.482836834409021
0.5560002443583115,0.47114483688188635,0.05991388193291167,0.19651695114115011,0.6173092593317446,0.6136890623880469,0.2626205813824189,4.3361458146053815
0.5539278996487459,0.4647853796680768,0.059819503842542567,0.19501087504128614,0.6175474574168524,0.6137627090017,0.2566204012828021,4.206220362335444
0.5499053990840912,0.4588036608695984,0.05939040631055832,0.19356295943260193,0.61776198387146,0.6138739204406738,0.2526304164564325,4.0845119591951375
0.5494292137714533,0.4528091572798215,0.059427178249909327,0.19286614255263254,0.6179335782161126,0.6138850496365473,0.24761248538236472,3.9617593743480173
0.5452395412656996,0.4471285343170166,0.05887382988024641,0.191996560604484,0.6181679721231814,0.6139810924176816,0.24372958280622453,3.847407017372273
0.5420117080211639,0.44213072529860903,0.05845909605601004,0.19125713035464287,0.6184309657130923,0.6142861204487937,0.24628437885327167,3.7466711701026987
0.5391281987058705,0.4374191689080206,0.05812069144228409,0.19040404876758313,0.6183924757201096,0.6142205986483343,0.24839013154512915,3.6533118618973375
0.5390203456083934,0.43252989252408347,0.05813518427312374,0.1902092402180036,0.618662174542745,0.6142916440963745,0.24640874187572898,3.563284381826719
0.5360605553273232,0.4281951477450709,0.05785088373288032,0.18895525268969998,0.6189044406337123,0.6143601344477746,0.2434824424428856,3.4904979002091197
0.5360442204400897,0.4240614026784897,0.058075352921150625,0.18759210361167789,0.6191803961992264,0.6143455225974321,0.24281688889528763,3.427072413545102
0.532933875466838,0.4203232869957433,0.05781887776472352,0.18602060955582242,0.6192625869404186,0.6142824870167356,0.24145810488405836,3.3682660848805397
0.5332046370295918,0.416901410502546,0.05779548657729345,0.18643171822323518,0.6195695996284485,0.6144277523545658,0.2394678293579291,3.32743659668109
0.5317975648811886,0.41380974309785024,0.05770024497594152,0.1855960956641606,0.6196192962782724,0.6142730406352452,0.23656354700975415,3.3093508653981343
0.5322720996207662,0.41103650629520416,0.057919710564116635,0.18475383602910572,0.6198180996709399,0.6143434759643343,0.2343839720792688,3.3013028259078663
0.5303341730220897,0.4085777909369082,0.0577429562202982,0.18387643549893354,0.619886619013709,0.6142219578897631,0.2318043598106329,3.3087205840123666
0.5278697688328592,0.4068349019477242,0.057526497366397006,0.18271078404627347,0.6201127814619165,0.6143397359471572,0.22885866659981677,3.3323218726798105
0.5255929369192857,0.4052761579171205,0.057281376173098884,0.18190467968965188,0.620014027143136,0.6141932728963021,0.22633828563582695,3.35430008432804
0.5255455315113068,0.40291844606399535,0.05738318739458918,0.18124640695750713,0.6202238246798515,0.6142651498317718,0.22571134465397327,3.3510765021294353
0.5234575983954639,0.40046027884250734,0.05715057553678024,0.18055414499306097,0.620456881639434,0.6144115837608896,0.22364981376141968,3.324432248676695
