loss_G,loss_D,L1_hole,L1_valid,D_real_mean,D_fake_mean,grad_G,grad_D
0.8948229551315308,2.1370606422424316,0.07838499546051025,0.42209264636039734,0.43580707907676697,0.43852174282073975,0.5919111420345657,15.808905220031738
0.8499350249767303,1.7932965755462646,0.07783441618084908,0.38137923181056976,0.47119854390621185,0.4704950451850891,0.531720863052589,14.026877212524415
0.7962881525357565,1.5414955615997314,0.07639263818661372,0.3367842336495717,0.5040676693121592,0.503154993057251,0.4274189657732552,11.649415779113768
0.74519182741642,1.3933569192886353,0.07279397360980511,0.30748044699430466,0.5309278145432472,0.530815526843071,0.3558446949909386,9.876472270488739
0.7050907135009765,1.299480152130127,0.06929093077778817,0.2884881436824799,0.5499987423419952,0.550381886959076,0.3116463242646526,8.908317756652831
0.6877470016479492,1.2163228392601013,0.06906852188209693,0.27252749105294544,0.5612943023443222,0.5614348550637563,0.2863363665597075,8.133136224746705
0.6615827509335109,1.1511656897408622,0.06610576169831413,0.2642047575541905,0.5682435929775238,0.5682982206344604,0.26162523802902016,7.720067678179061
0.6488193050026894,1.1099673807621002,0.06549259647727013,0.2551658507436514,0.5725583098828793,0.5722446143627167,0.24164644276093253,7.615898227691651
0.635902053780026,1.0791541867785983,0.06465560528967115,0.24729671577612558,0.5761817130777571,0.5757826897833083,0.2276404412110257,7.590519746144612
0.6224445641040802,1.0489222526550293,0.06366049461066722,0.2398325338959694,0.5798030883073807,0.5791547358036041,0.223196808891097,7.489761199951173
0.6160014542666349,1.0173668753017078,0.06330495632507584,0.23554985225200653,0.5829098739407279,0.5822130441665649,0.22075007881540906,7.210467858748003
0.6090477605660757,0.9823531409104665,0.06278251794477303,0.23175481085975966,0.5857716575264931,0.5848482847213745,0.21735447401970662,6.807735729217529
0.6010717841295096,0.95269742837319,0.062185027851508215,0.2273883819580078,0.5876656014185685,0.5865729130231417,0.2135259622831226,6.458575890614436
0.5961855905396598,0.9253668572221484,0.061928643711975644,0.22405968180724553,0.589401268533298,0.5881995814187186,0.21403029226422104,6.17984345640455
0.5908219695091248,0.9020262281099956,0.06169126133124034,0.2201313257217407,0.5910428980986278,0.5896530946095785,0.20617679167201047,5.971248464584351
0.588295254856348,0.8817251585423946,0.061619374668225646,0.21805027686059475,0.5925925020128489,0.591005302965641,0.19949445005477173,5.801111441850662
0.5841895902858061,0.862328077063841,0.06130076265510391,0.21587036287083344,0.5941449281047372,0.5923858600504258,0.19343280718157513,5.614256252962001
0.5764680703481039,0.8451285130447812,0.060192431840631694,0.21480769912401834,0.5954088618357977,0.5936246812343597,0.18766105725366036,5.427061764399211
0.574233004921361,0.8279301147711905,0.06004808411786431,0.21344842095124095,0.5965939305330578,0.5945924049929568,0.183076506678805,5.238671941506236
0.5681968212127686,0.8122188776731492,0.059280021116137505,0.21203130409121512,0.5975995168089867,0.5954983085393906,0.17770909128354534,5.067005002498627
0.5635581144264766,0.7971312020506177,0.05882198895726885,0.21014946344352903,0.598332710209347,0.5960666366985866,0.1735485633711281,4.926751953079587
0.5589171336455778,0.7848199402744119,0.058451721614057366,0.20774111693555658,0.5988826087929986,0.5966040708801963,0.17838887442065213,4.804637448354201
0.5611627477666606,0.7731169889802518,0.059018866847390716,0.20659064857856088,0.5996906381586323,0.5974686508593352,0.1868002822978751,4.6924853200497845
0.5605885076026121,0.7616877692441145,0.059232313806811966,0.204744848733147,0.6003875248134136,0.5980253964662552,0.1836819940414417,4.610300002495449
0.5571882164478302,0.7511506640911102,0.05903611689805985,0.2025277018547058,0.6011299622058869,0.5986441659927368,0.17887089377680032,4.547433144569397
0.5559088232425543,0.7419188332099181,0.058970457659317896,0.2016454591200902,0.6017272300445117,0.5990831072513874,0.17460342595270498,4.534858449605796
0.5556168743857631,0.7350940251791919,0.05912303841776318,0.20044434622482019,0.6022290841296867,0.5994354486465454,0.17154012603912516,4.570979668475964
0.5564451441168785,0.7308183514646122,0.05945015964763505,0.19931343836443766,0.6028371634227889,0.5998638080699104,0.1692154229170557,4.636633625200817
0.5546224209769018,0.7260439837801045,0.05934689322422291,0.19811470960748606,0.6034580273874874,0.6003227213333393,0.16713031115951152,4.695586422394063
0.5528548826773961,0.7195154378811518,0.05932965154449145,0.19645461787780125,0.6038962970177333,0.6005982061227163,0.1634806653836231,4.713082894484203
0.5557602634353023,0.7111095987981365,0.06000007184282426,0.19534335838210198,0.6043003384144076,0.6008237927190719,0.16090610494794755,4.665051712528354
0.5537136727944016,0.7024007942527533,0.059867293341085315,0.19409759296104312,0.6046135453507304,0.6010471079498529,0.16046298405682835,4.569427822530271
